img,csf,gm,wm
1005,0.931585973,0.807889058,0.89081429
1003,0.754886499,0.83830854,0.92831985
1004,0.829828757,0.852616452,0.92330212
1125,0.491430435,0.815318344,0.838194079
1122,0.912770631,0.744465488,0.819593724
1113,0.851700995,0.831878243,0.915880997
1101,0.889135176,0.84962755,0.913938433
1107,0.802853533,0.807932328,0.868296478
1019,0.78513881,0.832957237,0.916488404
1018,0.857513745,0.842926276,0.92007913
1039,0.805329462,0.815909916,0.911759126
1038,0.854402361,0.833183104,0.919516704
1119,0.896909576,0.774080558,0.859010053
1110,0.85841654,0.849152062,0.900908218
1128,0.57838614,0.784786847,0.820620063
1116,0.906037357,0.855206256,0.89571906
1104,0.853556242,0.793848541,0.838171747
1025,0.920621594,0.842157557,0.895250332
1024,0.843134154,0.853243995,0.910550313
1023,0.75645048,0.8376333,0.922430744
,16.38008846,16.46312165,17.80884386
,0.81,82,89
